,icl_prompt,ground_truth,target_attributes,GPT 4 Response,borncity,diedcity,city
1232,"Venkatraman, Ramakrishnan, ""for studies of the structure and function of the ribosome"", Chemistry: Cambridge
Henrik, Dam, ""for his discovery of vitamin K"", Medicine: Copenhagen
William D., Phillips, ""for development of methods to cool and trap atoms with laser light"", Physics: Gaithersburg MD
Thomas J., Sargent, ""for their empirical research on cause and effect in the macroeconomy"", Economics: ",New York NY,city,"Stanford, CA",Pasadena CA,,New York NY
1233,"Subramanyan, Chandrasekhar, ""for his theoretical studies of the physical processes of importance to the structure and evolution of the stars"", Physics: Chicago IL
Joseph H., Taylor Jr., ""for the discovery of a new type of pulsar a discovery that has opened up new possibilities for the study of gravitation"", Physics: Princeton NJ
Jacobus H., van 't Hoff, ""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions"", Chemistry: Berlin
Jean, Dausset, ""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions"", Medicine: ",Paris,city,"Paris, France",Toulouse,Palma Majorca,Paris
1234,"Henry, Taube, ""for his work on the mechanisms of electron transfer reactions especially in metal complexes"", Chemistry: Stanford CA
Sir Chandrasekhara Venkata, Raman, ""for his work on the scattering of light and for the discovery of the effect named after him"", Physics: Calcutta
Claude, Cohen-Tannoudji, ""for development of methods to cool and trap atoms with laser light"", Physics: Paris
Dale T., Mortensen, ""for their analysis of markets with search frictions"", Economics: ",Evanston IL,city,"Rochester, NY",Enterprise OR,Wilmette IL,Evanston IL
1235,"Susumu, Tonegawa, ""for his discovery of the genetic principle for generation of antibody diversity"", Medicine: Cambridge MA
Herbert, Simon, ""for his pioneering research into the decision-making process within economic organizations"", Economics: Pittsburgh PA
Abhijit, Banerjee, ""for their experimental approach to alleviating global poverty"", Economics: Cambridge MA
Karl, von Frisch, ""for their discoveries concerning organization and elicitation of individual and social behaviour patterns"", Medicine: ",Munich,city,"Munich, Germany",Vienna,Munich,Munich
1236,"Alfred G., Gilman, ""for their discovery of G-proteins and the role of these proteins in signal transduction in cells"", Medicine: Dallas TX
Ernest, Lawrence, ""for the invention and development of the cyclotron and for results obtained with it especially with regard to artificial radioactive elements"", Physics: Berkeley CA
Robert J., Aumann, ""for having enhanced our understanding of conflict and cooperation through game-theory analysis"", Economics: Jerusalem
Eric, Betzig, ""for the development of super-resolved fluorescence microscopy"", Chemistry: ",Ashburn VA,city,Ashburn VA,Ann Arbor MI,,Ashburn VA
1237,"John C., Harsanyi, ""for their pioneering analysis of equilibria in the theory of non-cooperative games"", Economics: Berkeley CA
Sir John B., Gurdon, ""for the discovery that mature cells can be reprogrammed to become pluripotent"", Medicine: Cambridge
Richard, Kuhn, ""for his work on carotenoids and vitamins"", Chemistry: Heidelberg
Thomas H., Morgan, ""for his discoveries concerning the role played by the chromosome in heredity"", Medicine: ",Pasadena CA,city,Pasadena CA,Lexington KY,Pasadena CA,Pasadena CA
1238,"H. Gobind, Khorana, ""for their interpretation of the genetic code and its function in protein synthesis"", Medicine: Madison WI
John C., Harsanyi, ""for their pioneering analysis of equilibria in the theory of non-cooperative games"", Economics: Berkeley CA
Maurice, Allais, ""for his pioneering contributions to the theory of markets and efficient utilization of resources"", Economics: Paris
Elizabeth H., Blackburn, ""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase"", Medicine: ",San Francisco CA,city,San Francisco CA,Hobart Tasmania,,San Francisco CA
1239,"Manfred, Eigen, ""for their studies of extremely fast chemical reactions effected by disturbing the equilibrium by means of very short pulses of energy"", Chemistry: Göttingen
Harald, zur Hausen, ""for his discovery of human papilloma viruses causing cervical cancer"", Medicine: Heidelberg
Peter A., Diamond, ""for their analysis of markets with search frictions"", Economics: Cambridge MA
Robert C., Richardson, ""for their discovery of superfluidity in helium-3"", Physics: ",Ithaca NY,city,Ithaca,Washington D.C.,Ithaca NY,Ithaca NY
1240,"Frédéric, Joliot, ""in recognition of their synthesis of new radioactive elements"", Chemistry: Paris
Isidor Isaac, Rabi, ""for his resonance method for recording the magnetic properties of atomic nuclei"", Physics: New York NY
Arvid, Carlsson, ""for their discoveries concerning signal transduction in the nervous system"", Medicine: Gothenburg
Albert, Fert, ""for the discovery of Giant Magnetoresistance"", Physics: ",Orsay,city,Orsay,Carcassonne,,Orsay
1241,"Peter, Medawar, ""for discovery of acquired immunological tolerance"", Medicine: London
Ryoji, Noyori, ""for their work on chirally catalysed hydrogenation reactions"", Chemistry: Nagoya
Sir Frank Macfarlane, Burnet, ""for discovery of acquired immunological tolerance"", Medicine: Melbourne
Leopold, Ruzicka, ""for his work on polymethylenes and higher terpenes"", Chemistry: ",Zurich,city,Zurich,Vukovar,Zurich,Zurich
1242,"Nicholas Murray, Butler, ""for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind"", Peace: New York NY
Marie, Curie, ""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium by the isolation of radium and the study of the nature and compounds of this remarkable element"", Chemistry: Paris
D. Carleton, Gajdusek, ""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases"", Medicine: Bethesda MD
Feodor, Lynen, ""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism"", Medicine: ",Munich,city,Munich,Munich,Munich,Munich
1243,"Eugene, Wigner, ""for his contributions to the theory of the atomic nucleus and the elementary particles particularly through the discovery and application of fundamental symmetry principles"", Physics: Princeton NJ
Gary, Becker, ""for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction including nonmarket behaviour"", Economics: Chicago IL
H. Gobind, Khorana, ""for their interpretation of the genetic code and its function in protein synthesis"", Medicine: Madison WI
Saul, Perlmutter, ""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae"", Physics: ",Berkeley CA,city,Berkeley CA,Champaign-Urbana IL,,Berkeley CA
1244,"Irène, Joliot-Curie, ""in recognition of their synthesis of new radioactive elements"", Chemistry: Paris
Jules A., Hoffmann, ""for their discoveries concerning the activation of innate immunity"", Medicine: Strasbourg
Bengt, Holmström, ""for their contributions to contract theory"", Economics: Cambridge MA
Sir John, Eccles, ""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane"", Medicine: ",Canberra,city,Canberra,Melbourne,Contra,Canberra
1245,"Stanley B., Prusiner, ""for his discovery of Prions - a new biological principle of infection"", Medicine: San Francisco CA
Louis, Renault, ""for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences"", Peace: Paris
Jack, Steinberger, ""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino"", Physics: Geneva
Giulio, Natta, ""for their discoveries in the field of the chemistry and technology of high polymers"", Chemistry: ",Milan,city,Milan,Imperia,Bergamo,Milan
1246,"Henrik, Dam, ""for his discovery of vitamin K"", Medicine: Copenhagen
Konstantin, Novoselov, ""for groundbreaking experiments regarding the two-dimensional material graphene"", Physics: Manchester
Dennis, Gabor, ""for his invention and development of the holographic method"", Physics: London
Louis, Néel, ""for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics"", Physics: ",Grenoble,city,Grenoble,Lyon,Brive-Corrèze,Grenoble
1247,"Gerard, Debreu, ""for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium"", Economics: Berkeley CA
Gerhard, Herzberg, ""for his contributions to the knowledge of electronic structure and geometry of molecules particularly free radicals"", Chemistry: Ottawa
Richard E., Smalley, ""for their discovery of fullerenes"", Chemistry: Houston TX
Thomas A., Steitz, ""for studies of the structure and function of the ribosome"", Chemistry: ",New Haven CT,city,New Haven CT,Milwaukee WI,Branford CT,New Haven CT
1248,"Roger W., Sperry, ""for his discoveries concerning the functional specialization of the cerebral hemispheres"", Medicine: Pasadena CA
David, Card, ""for his empirical contributions to labour economics"", Economics: Berkeley CA
Edwin M., McMillan, ""for their discoveries in the chemistry of the transuranium elements"", Chemistry: Berkeley CA
Herbert C., Brown, ""for their development of the use of boron- and phosphorus-containing compounds respectively into important reagents in organic synthesis"", Chemistry: ",West Lafayette IN,city,West Lafayette IN,London,Lafayette IN,West Lafayette IN
1249,"Simon, van der Meer, ""for their decisive contributions to the large project which led to the discovery of the field particles W and Z communicators of weak interaction"", Physics: Geneva
Walter, Kohn, ""for his development of the density-functional theory"", Chemistry: Santa Barbara CA
Lars Peter, Hansen, ""for their empirical analysis of asset prices"", Economics: Chicago IL
Georges J.F., Köhler, ""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies"", Medicine: ",Basel,city,Freiburg,Munich,Freiburg im Breisgau,Basel
1250,"Richard R., Schrock, ""for the development of the metathesis method in organic synthesis"", Chemistry: Cambridge MA
William D., Nordhaus, ""for integrating climate change into long-run macroeconomic analysis"", Economics: New Haven CT
James E., Meade, ""for their pathbreaking contribution to the theory of international trade and international capital movements"", Economics: Cambridge
Dorothy Crowfoot, Hodgkin, ""for her determinations by X-ray techniques of the structures of important biochemical substances"", Chemistry: ",Oxford,city,Oxford,Cairo,Shipston-on-Stour,Oxford
1251,"Peter, Medawar, ""for discovery of acquired immunological tolerance"", Medicine: London
Roald, Hoffmann, ""for their theories developed independently concerning the course of chemical reactions"", Chemistry: Ithaca NY
James J., Heckman, ""for his development of theory and methods for analyzing selective samples"", Economics: Chicago IL
Paul, Sabatier, ""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years"", Chemistry: ",Toulouse,city,Toulouse,Carcassonne,Toulouse,Toulouse
1252,"Daniel, Nathans, ""for the discovery of restriction enzymes and their application to problems of molecular genetics"", Medicine: Baltimore MD
Françoise, Barré-Sinoussi, ""for their discovery of human immunodeficiency virus"", Medicine: Paris
Carlo, Rubbia, ""for their decisive contributions to the large project which led to the discovery of the field particles W and Z communicators of weak interaction"", Physics: Geneva
William, Kaelin, ""for their discoveries of how cells sense and adapt to oxygen availability"", Medicine: ",Boston MA,city,"Boston, MA",New York NY,,Boston MA
1253,"David, MacMillan, ""for the development of asymmetric organocatalysis"", Chemistry: Princeton NJ
John R., Hicks, ""for their pioneering contributions to general economic equilibrium theory and welfare theory"", Economics: Oxford
Gerard, Debreu, ""for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium"", Economics: Berkeley CA
Phillip A., Sharp, ""for their discoveries of split genes"", Medicine: ",Cambridge MA,city,"Cambridge MA Richard J., Roberts, ""for their discoveries of split genes"", Medicine: Beverly MA",Falmouth KY,,Cambridge MA
1254,"Edmond H., Fischer, ""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism"", Medicine: Seattle WA
Albert, Einstein, ""for his services to Theoretical Physics and especially for his discovery of the law of the photoelectric effect"", Physics: Berlin
Walter, Kohn, ""for his development of the density-functional theory"", Chemistry: Santa Barbara CA
Luis, Leloir, ""for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates"", Chemistry: ",Buenos Aires,city,Buenos Aires,Paris,Buenos Aires,Buenos Aires
1255,"Frances H., Arnold, ""for the directed evolution of enzymes"", Chemistry: Pasadena CA
Robert A., Millikan, ""for his work on the elementary charge of electricity and on the photoelectric effect"", Physics: Pasadena CA
Jaroslav, Heyrovsky, ""for his discovery and development of the polarographic methods of analysis"", Chemistry: Prague
Akira, Yoshino, ""for the development of lithium-ion batteries"", Chemistry: ",Tokyo,city,"Suita, Osaka, Japan",Suita,,Tokyo
1256,"Ferid, Murad, ""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system"", Medicine: Houston TX
John C., Harsanyi, ""for their pioneering analysis of equilibria in the theory of non-cooperative games"", Economics: Berkeley CA
Manfred, Eigen, ""for their studies of extremely fast chemical reactions effected by disturbing the equilibrium by means of very short pulses of energy"", Chemistry: Göttingen
Ardem, Patapoutian, ""for their discoveries of receptors for temperature and touch"", Medicine: ",La Jolla CA,city,La Jolla CA,Beirut,,La Jolla CA
1257,"Satoshi, Ōmura, ""for their discoveries concerning a novel therapy against infections caused by roundworm parasites"", Medicine: Tokyo
Sir Chandrasekhara Venkata, Raman, ""for his work on the scattering of light and for the discovery of the effect named after him"", Physics: Calcutta
Charles Glover, Barkla, ""for his discovery of the characteristic R&ouml;ntgen radiation of the elements"", Physics: Edinburgh
Percy W., Bridgman, ""for the invention of an apparatus to produce extremely high pressures and for the discoveries he made therewith in the field of high pressure physics"", Physics: ",Cambridge MA,city,Cambridge,Cambridge MA,Randolph NH,Cambridge MA
1258,"Adolf, von Baeyer, ""in recognition of his services in the advancement of organic chemistry and the chemical industry through his work on organic dyes and hydroaromatic compounds"", Chemistry: Munich
Marie, Curie, ""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium by the isolation of radium and the study of the nature and compounds of this remarkable element"", Chemistry: Paris
Polykarp, Kusch, ""for his precision determination of the magnetic moment of the electron"", Physics: New York NY
Frédéric, Joliot, ""in recognition of their synthesis of new radioactive elements"", Chemistry: ",Paris,city,"Paris Irène, Joliot-Curie, ""in recognition of their synthesis of new radioactive elements"", Chemistry: Paris Ernest, Walton, ""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles"", Physics: Dublin John, Bardeen, ""for their researches on semiconductors and their discovery of the transistor effect"", Physics: Urbana, IL Walter, Brattain, ""for their researches on semiconductors and their discovery of the transistor effect"", Physics: Murray Hill, NJ William, Shockley, ""for their researches on semiconductors and their discovery of the transistor effect"", Physics: Mountain View, CA Dorothy,",Paris,Paris,Paris
1259,"Wolfgang, Paul, ""for the development of the ion trap technique"", Physics: Bonn
John C., Kendrew, ""for their studies of the structures of globular proteins"", Chemistry: Cambridge
Sir William, Ramsay, ""in recognition of his services in the discovery of the inert gaseous elements in air and his determination of their place in the periodic system"", Chemistry: London
Vitaly L., Ginzburg, ""for pioneering contributions to the theory of superconductors and superfluids"", Physics: ",Moscow,city,Moscow,Moscow,,Moscow
1260,"Christian, Anfinsen, ""for his work on ribonuclease especially concerning the connection between the amino acid sequence and the biologically active conformation"", Chemistry: Bethesda MD
George, Wald, ""for their discoveries concerning the primary physiological and chemical visual processes in the eye"", Medicine: Cambridge MA
Yves, Chauvin, ""for the development of the metathesis method in organic synthesis"", Chemistry: Rueil-Malmaison
Ferid, Murad, ""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system"", Medicine: ",Houston TX,city,"Houston, TX",Whiting IN,,Houston TX
1261,"Louis, Néel, ""for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics"", Physics: Grenoble
Karl, von Frisch, ""for their discoveries concerning organization and elicitation of individual and social behaviour patterns"", Medicine: Munich
David J., Gross, ""for the discovery of asymptotic freedom in the theory of the strong interaction"", Physics: Santa Barbara CA
Richard E., Smalley, ""for their discovery of fullerenes"", Chemistry: ",Houston TX,city,"Houston, TX",Akron OH,Houston TX,Houston TX
1262,"Otto, Wallach, ""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds"", Chemistry: Göttingen
Anton, Zeilinger, ""for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science"", Physics: Vienna
Jerome I., Friedman, ""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics"", Physics: Cambridge MA
Eric F., Wieschaus, ""for their discoveries concerning the genetic control of early embryonic development"", Medicine: ",Princeton NJ,city,Princeton,South Bend IN,,Princeton NJ
1263,"Kenneth J., Arrow, ""for their pioneering contributions to general economic equilibrium theory and welfare theory"", Economics: Cambridge MA
Albrecht, Kossel, ""in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins including the nucleic substances"", Medicine: Heidelberg
Leland, Hartwell, ""for their discoveries of key regulators of the cell cycle"", Medicine: Seattle WA
Robert, Hofstadter, ""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons"", Physics: ",Stanford CA,city,"Stanford CA John, Bardeen, ""for their jointly developed theory of superconductivity, usually called the BCS-theory"", Physics: Urbana IL",New York NY,Stanford CA,Stanford CA
1264,"Herbert C., Brown, ""for their development of the use of boron- and phosphorus-containing compounds respectively into important reagents in organic synthesis"", Chemistry: West Lafayette IN
Barry, Sharpless, ""for the development of click chemistry and bioorthogonal chemistry"", Chemistry: La Jolla CA
Robert J., Shiller, ""for their empirical analysis of asset prices"", Economics: New Haven CT
Edward B., Lewis, ""for their discoveries concerning the genetic control of early embryonic development"", Medicine: ",Pasadena CA,city,Pasadena CA,Wilkes-Barre PA,Pasadena CA,Pasadena CA
1265,"Anthony J., Leggett, ""for pioneering contributions to the theory of superconductors and superfluids"", Physics: Urbana IL
Robert B., Laughlin, ""for their discovery of a new form of quantum fluid with fractionally charged excitations"", Physics: Stanford CA
Robert H., Grubbs, ""for the development of the metathesis method in organic synthesis"", Chemistry: Pasadena CA
Dickinson W., Richards, ""for their discoveries concerning heart catheterization and pathological changes in the circulatory system"", Medicine: ",New York NY,city,New York NY,Orange NJ,Lakeville CT,New York NY
1266,"John, O'Keefe, ""for their discoveries of cells that constitute a positioning system in the brain"", Medicine: London
Michael, Levitt, ""for the development of multiscale models for complex chemical systems"", Chemistry: Stanford CA
Baruch S., Blumberg, ""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases"", Medicine: Philadelphia PA
Joseph E., Murray, ""for their discoveries concerning organ and cell transplantation in the treatment of human disease"", Medicine: ",Boston MA,city,Boston MA,Milford MA,Boston MA,Boston MA
1267,"Eugene, Wigner, ""for his contributions to the theory of the atomic nucleus and the elementary particles particularly through the discovery and application of fundamental symmetry principles"", Physics: Princeton NJ
Wolfgang, Ketterle, ""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates"", Physics: Cambridge MA
Brian, Kobilka, ""for studies of G-protein-coupled receptors"", Chemistry: Stanford CA
Toshihide, Maskawa, ""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature"", Physics: ",Kyoto,city,"Kyoto, Japan",Nagoya,Kyoto,Kyoto
1268,"Stanley, Cohen, ""for their discoveries of growth factors"", Medicine: Nashville TN
Egas, Moniz, ""for his discovery of the therapeutic value of leucotomy in certain psychoses"", Medicine: Lisbon
Peter A., Diamond, ""for their analysis of markets with search frictions"", Economics: Cambridge MA
Max, Planck, ""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta"", Physics: ",Berlin,city,Berlin,Kiel,Göttingen,Berlin
1269,"John, Pople, ""for his development of computational methods in quantum chemistry"", Chemistry: Evanston IL
Daniel C., Tsui, ""for their discovery of a new form of quantum fluid with fractionally charged excitations"", Physics: Princeton NJ
Alan, Heeger, ""for the discovery and development of conductive polymers"", Chemistry: Santa Barbara CA
Sir Arthur, Lewis, ""for their pioneering research into economic development research with particular consideration of the problems of developing countries"", Economics: ",Princeton NJ,city,"Bridgetown, Barbados",Castries,Bridgetown,Princeton NJ
1270,"Robert H., Grubbs, ""for the development of the metathesis method in organic synthesis"", Chemistry: Pasadena CA
Robert G., Edwards, ""for the development of in vitro fertilization"", Medicine: Cambridge
Charles, Rice, ""for the discovery of Hepatitis C virus"", Medicine: New York NY
Robert M., Solow, ""for his contributions to the theory of economic growth"", Economics: ",Cambridge MA,city,"Cambridge, MA",Brooklyn NY,,Cambridge MA
1271,"Louis, Renault, ""for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences"", Peace: Paris
Thomas A., Steitz, ""for studies of the structure and function of the ribosome"", Chemistry: New Haven CT
Corneille, Heymans, ""for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration"", Medicine: Ghent
Sin-Itiro, Tomonaga, ""for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles"", Physics: ",Tokyo,city,Tokyo,Kyoto,Tokyo,Tokyo
1272,"Brian D., Josephson, ""for his theoretical predictions of the properties of a supercurrent through a tunnel barrier in particular those phenomena which are generally known as the Josephson effects"", Physics: Cambridge
Daniel L., McFadden, ""for his development of theory and methods for analyzing discrete choice"", Economics: Berkeley CA
Thomas R., Cech, ""for their discovery of catalytic properties of RNA"", Chemistry: Boulder CO
Paul A.M., Dirac, ""for the discovery of new productive forms of atomic theory"", Physics: ",Cambridge,city,Cambridge,Bristol,Tallahassee FL,Cambridge
1273,"Michael S., Brown, ""for their discoveries concerning the regulation of cholesterol metabolism"", Medicine: Dallas TX
David J., Gross, ""for the discovery of asymptotic freedom in the theory of the strong interaction"", Physics: Santa Barbara CA
Johannes, Stark, ""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields"", Physics: Greifswald
George H., Whipple, ""for their discoveries concerning liver therapy in cases of anaemia"", Medicine: ",Rochester NY,city,Rochester NY,Ashland NH,Rochester NY,Rochester NY
1274,"Leland, Hartwell, ""for their discoveries of key regulators of the cell cycle"", Medicine: Seattle WA
Edmond H., Fischer, ""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism"", Medicine: Seattle WA
George A., Akerlof, ""for their analyses of markets with asymmetric information"", Economics: Berkeley CA
Oliver, Smithies, ""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells"", Medicine: ",Chapel Hill NC,city,"Chapel Hill, NC",Halifax,Chapel Hill NC,Chapel Hill NC
1275,"Jules A., Hoffmann, ""for their discoveries concerning the activation of innate immunity"", Medicine: Strasbourg
David H., Hubel, ""for their discoveries concerning information processing in the visual system"", Medicine: Boston MA
Paul A.M., Dirac, ""for the discovery of new productive forms of atomic theory"", Physics: Cambridge
Donald J., Cram, ""for their development and use of molecules with structure-specific interactions of high selectivity"", Chemistry: ",Los Angeles CA,city,"Los Angeles, CA",Chester VT,Palm Desert CA,Los Angeles CA
1276,"Morten, Meldal, ""for the development of click chemistry and bioorthogonal chemistry"", Chemistry: Copenhagen
Daniel L., McFadden, ""for his development of theory and methods for analyzing discrete choice"", Economics: Berkeley CA
Arvid, Carlsson, ""for their discoveries concerning signal transduction in the nervous system"", Medicine: Gothenburg
Joseph H., Taylor Jr., ""for the discovery of a new type of pulsar a discovery that has opened up new possibilities for the study of gravitation"", Physics: ",Princeton NJ,city,"Princeton, NJ",Philadelphia PA,,Princeton NJ
1277,"Paul M., Romer, ""for integrating technological innovations into long-run macroeconomic analysis"", Economics: New York NY
Hendrik A., Lorentz, ""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena"", Physics: Leiden
Chen Ning, Yang, ""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles"", Physics: Princeton NJ
Milton, Friedman, ""for his achievements in the fields of consumption analysis monetary history and theory and for his demonstration of the complexity of stabilization policy"", Economics: ",Chicago IL,city,San Francisco CA,Brooklyn NY,San Francisco CA,Chicago IL
1278,"James, Rainwater, ""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection"", Physics: New York NY
Douglas, Diamond, ""for research on banks and financial crises"", Economics: Chicago IL
George E., Palade, ""for their discoveries concerning the structural and functional organization of the cell"", Medicine: New Haven CT
Paul, Modrich, ""for mechanistic studies of DNA repair"", Chemistry: ",Durham NC,city,Durham NC,Raton NM,,Durham NC
1279,"Ernest, Lawrence, ""for the invention and development of the cyclotron and for results obtained with it especially with regard to artificial radioactive elements"", Physics: Berkeley CA
Stanford, Moore, ""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule"", Chemistry: New York NY
Sir Arthur, Lewis, ""for their pioneering research into economic development research with particular consideration of the problems of developing countries"", Economics: Princeton NJ
John, Bardeen, ""for their jointly developed theory of superconductivity usually called the BCS-theory"", Physics: ",Urbana IL,city,"Urbana IL Leon, Cooper, ""for their jointly developed theory of superconductivity usually called the BCS-theory"", Physics: Providence RI Robert, Schrieffer, ""for their jointly developed theory of superconductivity usually called the BCS-theory"", Physics: Philadelphia PA Dorothy, Crowfoot Hodgkin, ""for her determinations by X-ray techniques of the structures of important biochemical substances"", Chemistry: Oxford, United Kingdom Gunnar, Myrdal, ""for their pioneering research into economic development research with particular consideration of the problems of developing countries"", Economics: Stockholm, Sweden",Madison WI,Boston MA,Urbana IL
1280,"Harold E., Varmus, ""for their discovery of the cellular origin of retroviral oncogenes"", Medicine: San Francisco CA
Rolf M., Zinkernagel, ""for their discoveries concerning the specificity of the cell mediated immune defence"", Medicine: Zurich
Martin, Ryle, ""for their pioneering research in radio astrophysics: Ryle for his observations and inventions in particular of the aperture synthesis technique and Hewish for his decisive role in the discovery of pulsars"", Physics: Cambridge
Frank, Wilczek, ""for the discovery of asymptotic freedom in the theory of the strong interaction"", Physics: ",Cambridge MA,city,Cambridge MA,New York NY,,Cambridge MA
1281,"Michael, Houghton, ""for the discovery of Hepatitis C virus"", Medicine: Edmonton
Aaron, Ciechanover, ""for the discovery of ubiquitin-mediated protein degradation"", Chemistry: Haifa
Felix, Bloch, ""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith"", Physics: Stanford CA
Joseph E., Stiglitz, ""for their analyses of markets with asymmetric information"", Economics: ",New York NY,city,New York,Gary IN,,New York NY
1282,"Sir John, Eccles, ""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane"", Medicine: Canberra
Edvard I., Moser, ""for their discoveries of cells that constitute a positioning system in the brain"", Medicine: Trondheim
Edgar, Adrian, ""for their discoveries regarding the functions of neurons"", Medicine: Cambridge
Harvey, Alter, ""for the discovery of Hepatitis C virus"", Medicine: ",Bethesda MD,city,Bethesda,New York NY,,Bethesda MD
1283,"John C., Mather, ""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation"", Physics: Greenbelt MD
Kenneth J., Arrow, ""for their pioneering contributions to general economic equilibrium theory and welfare theory"", Economics: Cambridge MA
George E., Smith, ""for the invention of an imaging semiconductor circuit - the CCD sensor"", Physics: Murray Hill NJ
Adam G., Riess, ""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae"", Physics: ",Baltimore MD,city,Baltimore MD,Washington D.C.,,Baltimore MD
1284,"Jean Baptiste, Perrin, ""for his work on the discontinuous structure of matter and especially for his discovery of sedimentation equilibrium"", Physics: Paris
Max, Delbrück, ""for their discoveries concerning the replication mechanism and the genetic structure of viruses"", Medicine: Pasadena CA
Louis, de Broglie, ""for his discovery of the wave nature of electrons"", Physics: Paris
James E., Rothman, ""for their discoveries of machinery regulating vesicle traffic a major transport system in our cells"", Medicine: ",New Haven CT,city,New Haven CT,Haverhill MA,,New Haven CT
1285,"Felix, Bloch, ""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith"", Physics: Stanford CA
Gerhard, Ertl, ""for his studies of chemical processes on solid surfaces"", Chemistry: Berlin
Daniel L., McFadden, ""for his development of theory and methods for analyzing discrete choice"", Economics: Berkeley CA
Wolfgang, Ketterle, ""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates"", Physics: ",Cambridge MA,city,Cambridge MA,Heidelberg,,Cambridge MA
1286,"Kai M., Siegbahn, ""for his contribution to the development of high-resolution electron spectroscopy"", Physics: Uppsala
Heike, Kamerlingh Onnes, ""for his investigations on the properties of matter at low temperatures which led inter alia to the production of liquid helium"", Physics: Leiden
Gustav, Hertz, ""for their discovery of the laws governing the impact of an electron upon an atom"", Physics: Halle
Gregg, Semenza, ""for their discoveries of how cells sense and adapt to oxygen availability"", Medicine: ",Baltimore MD,city,Johns Hopkins University,New York NY,,Baltimore MD
